id_matricula,id_aluno,id,Column1,co_uf_nasc,co_uf_end,co_curso_educ_profissional,co_municipio_end,co_municipio_nasc,co_pais_origem,in_autismo,in_baixa_visao,in_cegueira,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_surdez,in_surdocegueira,nome_escola_id,nu_ano,nu_ano_censo,nu_dias_atividade,nu_dur_aee_outras_redes,nu_dur_ativ_comp_outras_redes,nu_dur_aee_mesma_rede,nu_duracao_turma,nu_dur_ativ_comp_mesma_rede,nu_idade_referencia,nu_idade,nu_mes,tp_dependencia,tp_cor_raca,tp_sexo,in_necessidade_especial
35508384,110601085182,3790378,3789906,29,29,0,2927408,2901007,76,0,0,0,0,0,0,0,0,0,474,1990,2013,,,0,,240,0,22,23,7,NA,3,2,0
35508385,119764736164,3787720,3787248,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,295,0,12,13,6,NA,3,2,0
35508386,118530869752,3787721,3787249,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,295,0,12,13,11,NA,0,2,0
35508387,118533522176,3791550,3791078,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,355,0,11,12,10,NA,0,1,0
35508388,112895906210,3788505,3788033,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,240,0,17,18,11,NA,0,1,0
35508389,120723111870,3791523,3791051,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,9,NA,2,1,0
35508390,117626210378,3788496,3788024,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,240,0,20,21,10,NA,0,1,0
35508391,118533124952,3788529,3788057,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,0,14,14,1,NA,0,1,0
35508392,117626122240,3788049,3787577,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,240,0,18,18,2,NA,0,1,0
35508393,122757551875,3789048,3788576,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,11,NA,1,1,0
35508394,120786420102,3789600,3789128,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1990,2013,,,0,,355,0,23,23,1,NA,3,1,0
35508395,118533163931,3791594,3791122,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,7,NA,3,2,0
35508396,118802770009,3787681,3787209,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,17,17,4,NA,0,1,0
35508397,118530881027,3787718,3787246,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,0,13,14,10,NA,2,2,0
35508398,115375605650,3789652,3789180,29,29,0,2927408,2929503,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,8,NA,0,2,0
35508399,120922432251,3793931,3793459,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,12,NA,3,2,0
35508400,118533141377,3786473,3786001,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,355,0,17,18,10,NA,2,2,0
35509801,118532526895,3792144,3791672,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,0,14,14,2,NA,3,2,0
35509802,117643788226,3787682,3787210,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,355,0,17,18,9,NA,0,2,0
35509803,119667493767,3789653,3789181,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,355,0,15,15,3,NA,0,2,0
35509804,121872613100,3788988,3788516,29,29,0,2927408,2905800,76,0,0,0,0,0,0,0,0,0,474,1994,2013,,,0,,240,0,19,19,5,NA,0,2,0
35509805,119149485724,3792194,3791722,35,29,0,2927408,3550308,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,0,0,12,12,5,NA,3,2,0
35509806,119149485724,3786506,3786034,35,29,0,2927408,3550308,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,295,142,12,12,5,NA,3,2,0
35509807,119554641701,3792754,3792282,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,295,142,11,12,9,NA,0,2,0
